config_label,wavelength_nm,array_pitch_um,output_pitch_um,output_offset_um,estimated_cost,dominant_output,dominant_fraction,second_to_first,quality,source_type,out_1,out_2,out_3,out_4
seed_baseline,1547.6,1.5,2.0,0.0,0.0752318487472604,3,0.3798733822963401,0.9671176037640292,poor,cached,0.3896320760250091,1.145043969154358,1.1839759349822998,0.3981126844882965
seed_baseline,1549.2,1.5,2.0,0.0,0.0742541449041833,3,0.3403693919666657,0.8374976857231653,passing,cached,0.8406873941421509,0.4478824734687805,1.003808617591858,0.6567956805229187
seed_baseline,1550.8,1.5,2.0,0.0,0.0742295047777075,4,0.32783966076384724,0.816523857077707,passing,cached,0.7654852271080017,0.4004264771938324,0.7562031149864197,0.9374927878379822
seed_baseline,1552.4,1.5,2.0,0.0,0.0740605020805843,4,0.34965259165406215,0.6824737567185459,passing,cached,0.5076878070831299,0.4398441910743713,0.5491816401481628,0.8046926856040955
seed_local_best,1547.6,1.2,1.6,0.6,0.0742845991146507,4,0.30761052450703025,0.8100535378406826,passing,cached,0.6548467874526978,0.6833567023277283,0.5606130361557007,0.843594491481781
seed_local_best,1549.2,1.2,1.6,0.6,0.0742845991146507,2,0.32967464831272814,0.9319676443937198,passing,cached,0.217022955417633,0.7783625721931458,0.6402079463005066,0.7254087328910828
seed_local_best,1550.8,1.2,1.6,0.6,0.0742845991146507,2,0.4658296019842255,0.7023134326965776,general,cached,0.8974124789237976,1.2777948379516602,0.4097438156604767,0.1581009030342102
seed_local_best,1552.4,1.2,1.6,0.6,0.0742845991146507,1,0.3700690903639468,0.8960548638073299,passing,cached,0.8294791579246521,0.7432588338851929,0.3566392064094543,0.3120398223400116
globscan_a,1547.6,1.25,1.65,0.5,,2,0.4114688147704902,0.5570944183672388,general,new_run,0.6176645755767822,1.192474603652954,0.4236321747303009,0.6643209457397461
globscan_a,1549.2,1.25,1.65,0.5,,4,0.349915992076363,0.8103106424420661,passing,new_run,0.3239261209964752,0.743107259273529,0.6367157697677612,0.9170646667480469
globscan_a,1550.8,1.25,1.65,0.5,,2,0.3192044139836916,0.8440875674133358,passing,new_run,0.6822975277900696,1.0787500143051147,0.9105594754219055,0.7078889012336731
globscan_a,1552.4,1.25,1.65,0.5,,1,0.31432942209773124,0.918496129574603,passing,new_run,0.7037965059280396,0.6431064009666443,0.6464343667030334,0.24570386111736298
globscan_b,1547.6,1.25,1.6,0.55,,2,0.39457752131698504,0.5724365907922285,passing,new_run,0.5782901048660278,1.0634359121322632,0.4446497857570648,0.6087496280670166
globscan_b,1549.2,1.25,1.6,0.55,,4,0.32072092257246587,0.8892445073567204,passing,new_run,0.4247906804084778,0.6621447205543518,0.7866256237030029,0.8845999240875244
globscan_b,1550.8,1.25,1.6,0.55,,2,0.33970946304833693,0.8195148752735797,passing,new_run,0.6899377703666687,1.1676164865493774,0.9568790793418884,0.6226698756217957
globscan_b,1552.4,1.25,1.6,0.55,,1,0.31836364379919,0.9261592423009513,passing,new_run,0.7272200584411621,0.6521088480949402,0.6735215783119202,0.23139293491840363
globscan_c,1547.6,1.2,1.55,0.55,,4,0.28871388730281466,0.9256558765388057,poor,new_run,0.6895221471786499,0.7485561370849609,0.5542067289352417,0.8086764812469482
globscan_c,1549.2,1.2,1.55,0.55,,2,0.3673452762143939,0.7392947683696633,passing,new_run,0.23956871032714844,0.8122230768203735,0.5587976574897766,0.6004722714424133
globscan_c,1550.8,1.2,1.55,0.55,,2,0.46161824600185136,0.6651338605598336,general,new_run,0.8738019466400146,1.3137234449386597,0.41283121705055237,0.24555222690105438
globscan_c,1552.4,1.2,1.55,0.55,,1,0.34453015405768106,0.9983739854288873,poor,new_run,0.8607038855552673,0.8593043684959412,0.38874679803848267,0.38944104313850403
globscan_d,1547.6,1.15,1.55,0.6,,3,0.3115334234695233,0.8500226488369365,passing,new_run,0.6399836540222168,0.7879809141159058,0.9270116686820984,0.6206648945808411
globscan_d,1549.2,1.15,1.55,0.6,,4,0.2818583102091171,0.9501085605820323,poor,new_run,0.5586265325546265,0.658664345741272,0.5490325093269348,0.6932516694068909
globscan_d,1550.8,1.15,1.55,0.6,,2,0.2996110595366403,0.9762475947637711,poor,new_run,0.6882791519165039,0.7050251960754395,0.3328540325164795,0.6269763708114624
globscan_d,1552.4,1.15,1.55,0.6,,4,0.40432669196393506,0.7749816342729421,general,new_run,0.712666928768158,0.43066856265068054,0.2114512026309967,0.919592022895813
globscan_e,1547.6,1.15,1.6,0.65,,3,0.3105993595113824,0.7910790022504023,passing,new_run,0.6080428957939148,0.6948959827423096,0.8784154057502747,0.6467758417129517
globscan_e,1549.2,1.15,1.6,0.65,,4,0.33632397958245147,0.698061673631427,passing,new_run,0.5972300171852112,0.5562605261802673,0.6314056515693665,0.9045127034187317
globscan_e,1550.8,1.15,1.6,0.65,,1,0.37011285570416713,0.8481880342770626,passing,new_run,0.7782237529754639,0.660080075263977,0.20093195140361786,0.4634303152561188
globscan_e,1552.4,1.15,1.6,0.65,,4,0.41450022486241456,0.8461614118080637,passing,new_run,0.7543209195137024,0.3635329306125641,0.14137567579746246,0.8914622068405151
