stage,label,wavelength_nm,array_pitch_um,output_pitch_um,output_offset_um,estimated_cost,dominant_output,dominant_fraction,second_to_first,quality,score,out_1,out_2,out_3,out_4
scan,optscan_baseline,1550.8,1.5,2.0,0.0,0.07422950477770757,4,0.32783966076384724,0.816523857077707,passing,0.042056310786649787,0.7654852271080017,0.4004264771938324,0.7562031149864197,0.9374927878379822
scan,optscan_a,1550.8,1.3,1.8,0.3,0.07636063816648211,4,0.3581112573572759,0.8294546607252309,passing,0.0678021261034451,0.70761638879776,0.5569660663604736,1.0892446041107178,1.3132057189941406
scan,optscan_b,1550.8,1.2,1.7,0.4,0.07629631075356369,2,0.37123783378797665,0.9224307879234444,passing,0.04838705801477117,0.7933421730995178,0.8600560426712036,0.26245394349098206,0.4008730351924896
scan,optscan_c,1550.8,1.2,1.6,0.6,0.07349206534335126,2,0.4658296019842255,0.7023134326965776,general,0.22001990054042336,0.8974124789237976,1.2777948379516602,0.4097438156604767,0.1581009030342102
scan,optscan_d,1550.8,1.15,1.55,0.7,0.0745085241363572,2,0.3613483357143356,0.9491876117646133,passing,0.02913267159672095,0.776141345500946,0.8176901340484619,0.2104574590921402,0.45859718322753906
scan,optscan_e,1550.8,1.1,1.5,0.8,0.07365449552614954,1,0.3057512383638977,0.9022474312355688,passing,-0.010035362568551365,0.5737444162368774,0.3028087615966797,0.48229464888572693,0.5176594257354736
scan,optscan_f,1550.8,1.05,1.45,0.9,0.07632861466587718,3,0.28352095513667774,0.9689977639375604,poor,-0.055628262241468385,0.3496776819229126,0.3966153562068939,0.47898298501968384,0.46413344144821167
scan,optscan_g,1550.8,1.0,1.4,1.0,0.07361397192047636,1,0.3041544040286745,0.9156639702569278,passing,-0.016327985561250202,0.3278678357601166,0.30021676421165466,0.27443888783454895,0.17544162273406982
scan,optscan_h,1550.8,1.0,1.35,1.1,0.07647272207679162,3,0.3281261809258105,0.827790724230377,passing,0.03839942744517855,0.27135002613067627,0.18757794797420502,0.32780027389526367,0.21227851510047913
verify,optverify_1547.6nm,1547.6,1.2,1.6,0.6,0.07428459911465071,4,0.30761052450703025,0.8100535378406826,passing,0.024091786262791348,0.6548467874526978,0.6833567023277283,0.5606130361557007,0.843594491481781
verify,optverify_1549.2nm,1549.2,1.2,1.6,0.6,0.07428459911465071,2,0.32967464831272814,0.9319676443937198,passing,0.003485972774926238,0.21702295541763306,0.7783625721931458,0.6402079463005066,0.7254087328910828
verify,optverify_1550.8nm,1550.8,1.2,1.6,0.6,0.07428459911465071,2,0.4658296019842255,0.7023134326965776,general,0.22001990054042336,0.8974124789237976,1.2777948379516602,0.4097438156604767,0.1581009030342102
verify,optverify_1552.4nm,1552.4,1.2,1.6,0.6,0.07428459911465071,1,0.3700690903639468,0.8960548638073299,passing,0.056449888031381346,0.8294791579246521,0.7432588338851929,0.35663920640945435,0.3120398223400116
